,hotel_name,price_euros,rating,num_reviews,quality_over_5,quality_type,neighborhood,description
19526,Bright Modern - 2Bedrooms 1Bath - Delicias,1353.0,7.9,9.0,3.0,squares,"Arganzuela, Madrid","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 60m²
3 beds (2 twins, 1 full)
Free cancellation"
19527,Apartamento en la Plaza Olavide,2670.0,8.3,3.0,3.0,squares,"Chamberi, Madrid","Apartment - Ground Floor
Entire apartment • 4 bedrooms • 1 living room • 3 bathrooms • 1 kitchen • 100m²
8 twin beds
Free cancellation
Only 1 left at this price on our site"
19528,Moratalaz,1025.0,8.5,4.0,3.0,squares,"Moratalaz, Madrid","Two-Bedroom Superior Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 50m²
3 beds (1 twin, 1 full, 1 sofa bed)
Free cancellation"
19529,MyHouseSpain - Fantástico piso frente al Wizink,1263.0,7.8,18.0,,,"Salamanca, Madrid","One-Bedroom Apartment
2 beds (1 full, 1 sofa bed)
Free cancellation"
19530,Only YOU Hotel Atocha,2069.0,9.0,7226.0,4.0,stars,"Retiro, Madrid","Deluxe Double or Twin Room
Beds: 1 double or 2 twins"
19531,Ibis Madrid Aeropuerto Barajas,879.0,8.4,9814.0,2.0,stars,"Barajas, Madrid","Superior Double Room
1 queen bed"
19532,Cómodo y tranquilo a 2 minutos del metro,897.0,9.3,13.0,3.0,squares,"Vicálvaro, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
19533,Modern Apartment I in Madrid,1362.0,6.6,5.0,4.0,squares,"Madrid City Center, Madrid","Two-Bedroom Apartment
2 full beds
Free cancellation"
19534,MintyStay 1BD - Las Letras,1489.0,8.3,35.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 50m²
1 full bed"
19535,MyHouseSpain - Fantastico piso en Calle Fuencarral,1312.0,7.3,32.0,,,"Chamberi, Madrid","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen
3 beds (1 twin, 1 full, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site"
19536,Apartamentos Puerta Del Sol I,1246.0,7.7,63.0,3.0,squares,"Madrid City Center, Madrid","Apartment I
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
1 full bed
Only 2 left at this price on our site"
19537,Madrid center 2 bedrooms quiet apartment,1833.0,9.3,43.0,4.0,squares,"Madrid City Center, Madrid","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 72m²
3 beds (1 twin, 1 full, 1 sofa bed)
Free cancellation"
19538,Minty Stay 1BD -El Retiro,2090.0,9.1,22.0,4.0,squares,"Retiro, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 2 bathrooms • 70m²
2 beds (1 sofa bed, 1 queen)
Free cancellation"
19539,Global Home-Pico Cebollera,1098.0,8.3,38.0,3.0,squares,"Puente de Vallecas, Madrid","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 64m²
2 full beds
Free cancellation"
19540,Homeclub Modern Flat by Prado Museum & Retiro Moratin V,1479.0,9.0,1.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 50m²
1 full bed
Free cancellation"
19541,The First One Madrid Preciados,2428.0,8.5,2011.0,4.0,stars,"Madrid City Center, Madrid","Deluxe Room
1 king bed
Breakfast included"
19542,The Silk Road Stay,1117.0,,,,,Madrid,"Two-Bedroom Apartment
4 beds (2 twins, 1 full, 1 sofa bed)
Free cancellation"
19543,2 bedrooms 2 bathrooms furnished - Delicias - modern- MintyStay,1883.0,8.7,20.0,,,"Arganzuela, Madrid","Two-Bedroom Apartment
Entire apartment • 2 bathrooms • 70m²
Free cancellation"
19544,"The Principal Madrid, Small Luxury Hotels",2704.0,8.7,721.0,5.0,stars,"Madrid City Center, Madrid","Standard Double or Twin Room
Beds: 1 double or 2 twins"
19545,Salamanca V calle Alcántara 3BR 3BH,3381.0,8.7,35.0,4.0,squares,"Salamanca, Madrid","Three-Bedroom Apartment
Entire apartment • 3 bedrooms • 3 bathrooms • 1 kitchen • 88m²
3 full beds
Free cancellation"
19546,Hostal Mendoza,1506.0,7.9,1875.0,1.0,stars,"Madrid City Center, Madrid","Twin Room
2 twin beds
Only 1 room left at this price on our site"
19547,Punta Me Beautiful Apartment in Plaza España,580.0,4.9,81.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 35m²
2 beds (1 full, 1 sofa bed)"
19548,Spectacular 2-Bedroom Apartment with Stunning Retiro Park Views In the Heart of Barrio Salamanca,3919.0,9.2,14.0,4.0,squares,"Salamanca, Madrid","Apartment
Entire apartment • 2 bedrooms • 2 bathrooms • 1 kitchen • 150m²
3 beds (2 twins, 1 queen)"
19549,Clement Barajas,1244.0,8.7,8314.0,4.0,stars,"Barajas, Madrid","Double or Twin Room
Beds: 1 double or 2 twins"
19550,Precioso Apartamento cerca de la Puerta Del Sol,1699.0,9.5,48.0,4.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 49m²
2 beds (1 sofa bed, 1 queen)
Free cancellation"
19551,Apartamentos Day Madrid CHUECA Centro Gran Via Sol Malasaña,867.0,6.5,109.0,3.0,squares,"Madrid City Center, Madrid","Deluxe Double Room
1 full bed
Free cancellation
Only 2 rooms left at this price on our site"
19552,Beautiful apartament in Lavapies for 3 pax - 011,1055.0,7.7,3.0,,,"Madrid City Center, Madrid","One-Bedroom Apartment
2 beds (1 full, 1 sofa bed)
Free cancellation"
19553,Hostal Alfaro,1638.0,8.3,3343.0,,,"Madrid City Center, Madrid","Double Room
1 full bed
Only 6 rooms left at this price on our site"
19554,"S5 Apartamento nuevo, Madrid",1068.0,8.6,27.0,,,"Tetuan, Madrid","One-Bedroom Apartment
2 beds (1 full, 1 sofa bed)
Free cancellation"
19555,Sonder Malasaña,1702.0,9.0,849.0,4.0,squares,"Madrid City Center, Madrid","Apartment - Disability Access
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 46m²
2 beds (1 king, 1 sofa bed)
Only 1 left at this price on our site"
19556,Stylish private flat San Miguel,3246.0,9.1,18.0,3.0,squares,"Madrid City Center, Madrid","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 2 bathrooms • 1 kitchen • 88m²
3 beds (2 twins, 1 full)"
19557,limehome Madrid Calle de Don Ramón de la Cruz,1941.0,8.6,847.0,4.0,squares,"Salamanca, Madrid","One-Bedroom Apartment L
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 34m²
2 beds (1 full, 1 sofa bed)
Only 4 left at this price on our site"
19558,Bright with views -2Bd 1Bth- Bernabeu,1703.0,8.9,7.0,4.0,squares,"Tetuan, Madrid","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 bathroom • 1 kitchen • 75m²
2 full beds
Free cancellation"
19559,HUERTAS FLAT,1292.0,8.2,80.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 65m²
2 beds (1 full, 1 sofa bed)
Only 1 left at this price on our site"
19560,Melia Barajas,1512.0,8.5,6978.0,4.0,stars,"Barajas, Madrid","Meliá Room
Beds: 1 double or 2 twins"
19561,2 bedrooms 1 bathroom furnished - Justicia - incredible views - MintyStay,2252.0,7.8,20.0,4.0,squares,"Madrid City Center, Madrid","Two-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 85m²
4 beds (2 twins, 1 full, 1 sofa bed)
Free cancellation"
19562,Charming Retiro,1448.0,8.6,48.0,4.0,squares,"Retiro, Madrid","Deluxe Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 120m²
2 full beds
Free cancellation"
19563,"2 bedrooms 1,5bathrooms furnished - Sol - bright & functional - MintyStay",1625.0,7.4,17.0,3.0,squares,"Madrid City Center, Madrid","Three-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 45m²
3 beds (2 fulls, 1 sofa bed)
Free cancellation"
19564,3 bedrooms 3 bathrooms furnished - Salamanca - Modern and bright - MintyStay,2731.0,9.0,56.0,,,"Salamanca, Madrid","Three-Bedroom Apartment
Entire apartment • 3 bedrooms • 1 living room • 3 bathrooms • 1 kitchen • 100m²
4 beds (2 twins, 2 queens)
Free cancellation"
19565,"Experience the best of Madrid! Gran Vía Apartment for 6, comfort and style in the heart of Chueca III",4163.0,8.9,15.0,4.0,squares,"Madrid City Center, Madrid","Apartment
Entire apartment • 3 bedrooms • 2 bathrooms • 1 kitchen • 98m²
3 beds (2 fulls, 1 queen)"
19566,LA MADRILEÑA,1341.0,8.7,3.0,,,"Arganzuela, Madrid","Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom
1 full bed
Free cancellation
Only 1 left at this price on our site"
19567,La Gata Madrid,1172.0,7.3,70.0,3.0,squares,"Latina, Madrid","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 2 bathrooms • 1 kitchen • 70m²
4 beds (2 twins, 1 full, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site"
19568,"Mayor calle, alójate en el centro histórico de Madrid, junto a plaza Mayor y Mercado de San Miguel, edificio histórico 3er piso sin ascensor",1470.0,8.3,91.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
19569,1 bedroom 1 bathroom furnished - Justicia - Incredible views - MintyStay,1848.0,9.8,6.0,4.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 60m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
19570,Precioso apartamento a pie de calle - Retiro- Dr Laguna,1170.0,6.0,8.0,,,"Retiro, Madrid","One-Bedroom Apartment
2 beds (1 full, 1 sofa bed)
Free cancellation
Only 1 left at this price on our site"
19571,MyHouseSpain - Fantastico piso nuevo cerca del centro,1500.0,7.3,21.0,3.0,squares,"Chamberi, Madrid","Apartment with Shower
Entire apartment • 2 bedrooms • 2 bathrooms • 1 kitchen • 80m²
2 full beds
Free cancellation"
19572,Spacious modern-2Bedrooms 2Bathrooms-Chamberí,1934.0,9.0,4.0,4.0,squares,"Chamberi, Madrid","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 2 bathrooms • 1 kitchen • 80m²
2 full beds
Free cancellation"
